Smiles,Scores,chembl_id,chembl_pref_name
COc1cc(Nc2ncnc3cc(OC)c(OC)cc23)cc(OC)c1,0.6,CHEMBL1192428,None
COc1cc2c(Nc3cccc(C(F)(F)F)c3)ncnc2c(OC)c1OC,0.6,CHEMBL4127990,None
COc1cc2c(Nc3cccc(C#N)c3)ncnc2cc1OCCCN1CCCCC1,0.6,CHEMBL4174281,None
CCOc1cc2ncnc(Nc3ccc(OCc4ccccc4Br)c(OC)c3)c2cc1OCC,0.6,CHEMBL533478,None
O=[N+]([O-])c1ccc(COc2ccccc2Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)cc1,0.5964912280701754,CHEMBL4538874,None
c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCCO5)c2)nc1,0.5961538461538461,CHEMBL3305619,None
CS(=O)(=O)Nc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,0.5961538461538461,CHEMBL3040841,None
COc1cc2ncnc(Nc3ccc([18F])cc3)c2cc1OC,0.5957446808510638,CHEMBL1774649,None
COc1cc2ncnc(Nc3ccc4c(c3)OCO4)c2cc1OC,0.5957446808510638,CHEMBL1369868,None
COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OC.Cl,0.5957446808510638,CHEMBL1203934,None
CCOc1cc2ncnc(Nc3ccccc3F)c2cc1OCC,0.5918367346938775,CHEMBL225199,None
CCOc1cc2ncnc(Nc3ccccc3[18F])c2cc1OCC,0.5918367346938775,CHEMBL1774650,None
COc1ccc2ncnc(Nc3ccccc3)c2c1.Cl,0.5869565217391305,CHEMBL539102,None
COc1cc2ncnc(Nc3ccc(OCc4ccccc4Br)c(OC)c3)c2cc1OC,0.5849056603773585,CHEMBL587144,None
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1N1CCOCC1,0.5849056603773585,CHEMBL3623283,None
COc1cc2ncnc(Nc3ccc(OCc4ccccc4)c(I)c3)c2cc1OC,0.5849056603773585,CHEMBL531423,None
Cl.c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCCO5)c2)nc1,0.5849056603773585,CHEMBL3297956,None
COc1cc2ncnc(Nc3ccc(OCc4ccccc4)c(C(F)(F)F)c3)c2cc1OC,0.5849056603773585,CHEMBL532790,None
COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,0.5833333333333334,CHEMBL327307,None
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,0.5833333333333334,CHEMBL301018,None
COc1cc2ncnc(Nc3ccccc3Br)c2cc1OC,0.5833333333333334,CHEMBL92174,None
COc1cc2ncnc(Nc3ccccc3F)c2cc1OC.Cl,0.5833333333333334,CHEMBL1204360,None
COc1cc2c(Nc3ccccc3C#N)ncnc2cc1OCCCN1CCCC1,0.5818181818181818,CHEMBL4176139,None
COc1cc2c(Nc3cccc4c3OCCO4)ncnc2cc1OCCCN1CCOCC1,0.5818181818181818,CHEMBL171423,None
C#Cc1cccc(Nc2ncnc3cc(N4CCN(C)CC4)c(F)cc23)c1,0.5818181818181818,CHEMBL4516464,None
CCOc1cc2ncnc(Nc3ccc(OCc4c(Cl)cccc4Cl)c(OC)c3)c2cc1OCC,0.5818181818181818,CHEMBL587162,None
CCOc1cc2ncnc(Nc3ccc(OCc4c(F)cccc4F)c(OC)c3)c2cc1OCC,0.5818181818181818,CHEMBL546455,None
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCCN1C(=O)c2ccccc2C1=O,0.5789473684210527,CHEMBL3909626,None
COc1ccc(/C=C/C(=O)c2ccc(Nc3ncnc4ccccc34)cc2)cc1OC,0.5769230769230769,CHEMBL3809167,None
COc1cc2ncnc(Nc3cccc(N(CCCl)CCCl)c3)c2cc1OC,0.5769230769230769,CHEMBL3039688,None
