Smiles,chembl_id,chembl_pref_name
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(CCO)CCO1,CHEMBL3893176,None
COc1cc2ncnc(Nc3ccc(OC(F)(F)c4ccccc4)cc3)c2cc1OC,CHEMBL526757,None
CS(=O)(=O)CCN(CCS(C)(=O)=O)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,CHEMBL529972,None
O=C(/C=C/c1cccc2ccccc12)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL1812569,None
COc1ccc(N(C)c2nc(Nc3ccccc3C)[n+](C)c3ccccc23)cc1,CHEMBL1179662,None
Cc1cccc(Nc2ncnc3cc4c(cc23)n(C)c(=O)n4C)c1,CHEMBL3039701,None
Clc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)c1,CHEMBL3805681,None
CC#CCNC(=O)[C@@H](C)Oc1cc(F)ccc1Nc1ncnc2cc(N=S(C)(C)=O)cc(C)c12,CHEMBL4107564,None
CCN(CC)CCCNc1nc(Nc2ccc(Cl)c(Cl)c2)c2ccccc2n1,CHEMBL284639,None
COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1.Cc1ccc(S(=O)(=O)O)cc1,CHEMBL3544982,TESEVATINIB TOSYLATE
COc1cc2ncnc(N(C)c3cccc(Cl)c3)c2cc1OC.Cl,CHEMBL553908,None
Cc1cccc(Nc2ncnc3c2ccc2ccccc23)c1,CHEMBL3040860,None
CC(C)(C)c1ccc(Nc2ncnc3ccc(NC(=S)NCc4ccccc4)cc23)cc1,CHEMBL4101828,None
COc1cccc2ncnc(Nc3cccc(Br)c3)c12,CHEMBL119033,None
CCOCCOc1cc2ncnc(Nc3ccc(OCCOC)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,CHEMBL4456300,None
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(CC2CC2)CCCO1,CHEMBL3966752,None
C#Cc1cccc(Nc2ncnc3cc(OCCOC(=O)c4ccccc4OC(C)=O)c(OCCOC)cc23)c1,CHEMBL3741424,None
FC(F)(F)c1cccc(Nc2ncnc3ccc(NC(=S)Nc4ccc(Br)cc4)cc23)c1,CHEMBL570270,None
CC1CN(Cc2nc(Nc3ccc(C(F)(F)F)cc3)c3ccc(-c4ncccc4C(F)(F)F)cc3n2)CC(C)O1,CHEMBL456162,None
COc1cc2ncnc(Nc3ccc(CS(=O)(=O)/C=C/c4ccc(Br)cc4)cc3)c2cc1OC,CHEMBL159601,None
COc1ccc(N(C)c2nc(NCCO)nc3ccccc23)cc1,CHEMBL3905227,None
CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)CSc1ncc[nH]1,CHEMBL4526992,None
CC(C)Oc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(C)CCO1,CHEMBL3937297,None
Cc1c(OCC(F)(F)F)ccnc1COc1cccc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)c1,CHEMBL2064393,None
NC(=O)Nc1ccc2ncnc(Nc3ccc(Cl)cc3)c2c1,CHEMBL2347231,None
COc1cc2ncnc(Nc3ccc(Cl)cc3Cl)c2cc1OCCCN1CCNCCNCC1,CHEMBL4549221,None
Fc1ccc(Nc2ncnc3cc(OCCN4CCOCC4)c(OCCN4CCOCC4)cc23)cc1Cl,CHEMBL4172592,None
COc1cc2c(Nc3ccccc3C#N)ncnc2cc1OCCCN1CCCC1,CHEMBL4176139,None
COC(=O)c1nc(Nc2cc(Oc3ccccc3)cc([N+](=O)[O-])c2)c2ccccc2n1,CHEMBL3337567,None
NC(=O)Nc1ccc2ncnc(Nc3cccc(O)c3)c2c1,CHEMBL2347232,None
CCOc1cc2ncnc(Nc3ccccc3)c2cc1OCC,CHEMBL65055,None
COc1cc2c(Nc3ccc(Br)c(F)c3F)ncnc2cc1OCC1CN(C)CCO1,CHEMBL3941947,None
COc1ccc(OC)c(Nc2ncnc3ccc(Br)cc23)c1,CHEMBL1444189,None
COc1cc2ncnc(Nc3ccc(Cl)cc3)c2c(OC)c1OC.Cl,CHEMBL2409835,None
COC(=N)c1nc2ccc3ncnc(Nc4ccc(O)cc4)c3c2s1,CHEMBL3930050,None
CN(C)C1CCC(Nc2nc(Nc3cccc(Br)c3)c3ccccc3n2)CC1,CHEMBL284457,None
O=[N+]([O-])c1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1,CHEMBL4172744,None
CN1CCN(CCCOc2ccc3c(Nc4ccc(NC(=O)NCc5ccccc5)cc4)ncnc3c2)CC1,CHEMBL3343309,None
CNS(=O)(=O)c1ccc(N(C)C)c(Nc2ncnc3cc(OC)cc(OC)c23)c1,CHEMBL3814834,None
FC(F)(F)c1ccc(Nc2nc(C(Cl)(Cl)Cl)nc3ccccc23)cc1,CHEMBL569594,None
COc1ccc(N(c2nc(Cl)nc3ccccc23)C2CCCC2)cc1,CHEMBL3980057,None
CS(=O)(=O)Nc1cccc(-c2nc(Nc3ccccc3)c3ccccc3n2)c1,CHEMBL1599118,None
COc1cc2c(Nc3cccc(I)c3)ncnc2c(OC)c1OC,CHEMBL4130011,None
CCCCCOC(=O)c1ccc(Nc2nc(C(=O)OCC)nc3ccccc23)cc1,CHEMBL1880380,None
Oc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)cc3)c2c1,CHEMBL4514248,None
